interaction_index_A,interaction_index_B,order_group,participant_id,pi1_familiarity_mean_A,pi1_familiarity_mean_B,pi1_familiarity_mean_diff,pi2_godspeed_all_mean_A,pi2_godspeed_all_mean_B,pi2_godspeed_all_mean_diff,pi2_godspeed_animacy_mean_A,pi2_godspeed_animacy_mean_B,pi2_godspeed_animacy_mean_diff,pi2_godspeed_anthro_mean_A,pi2_godspeed_anthro_mean_B,pi2_godspeed_anthro_mean_diff,pi2_godspeed_intel_mean_A,pi2_godspeed_intel_mean_B,pi2_godspeed_intel_mean_diff,pi2_godspeed_like_mean_A,pi2_godspeed_like_mean_B,pi2_godspeed_like_mean_diff,pi2_godspeed_safety_mean_A,pi2_godspeed_safety_mean_B,pi2_godspeed_safety_mean_diff,pi3_closeness_mean_A,pi3_closeness_mean_B,pi3_closeness_mean_diff,pi3_sam_arousal_A,pi3_sam_arousal_B,pi3_sam_arousal_diff,pi3_sam_dominance_A,pi3_sam_dominance_B,pi3_sam_dominance_diff,pi3_sam_valence_A,pi3_sam_valence_B,pi3_sam_valence_diff,pi4_context_mean_A,pi4_context_mean_B,pi4_context_mean_diff,profile_id_A,run_session_id,scenario_id_A,scenario_id_B
1,2,A-B,pf002,4.8,1.2,3.5999999999999996,3.1739,2.9565,0.21740000000000004,3.3333,2.6667,0.6665999999999999,2.4,1.4,1.0,4.2,4.8,-0.5999999999999996,3.0,3.5,-0.5,2.6667,2.3333,0.33340000000000014,1.6667,2.0,-0.33329999999999993,6.0,6.0,0.0,3.0,3.0,0.0,3.0,6.0,-3.0,5.25,4.75,0.5,pf-0001,exp-70d0b68738d7b9b3,daily_conversation,daily_conversation
2,1,B-A,pf004,4.0,4.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,5.0,7.0,-2.0,8.0,8.0,0.0,4.0,4.0,0.0,pf-0001,exp-e73ee18b6c259505,daily_conversation,daily_conversation
1,2,A-B,pf005,1.6,1.6,0.0,4.5217,3.0,1.5217,4.8333,3.0,1.8333000000000004,4.2,3.0,1.2000000000000002,5.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,0.0,7.0,4.0,3.0,9.0,5.0,4.0,9.0,5.0,4.0,8.0,5.0,3.0,7.0,4.75,2.25,pf-0001,exp-bab25091ac7cd8dc,daily_conversation,daily_conversation
