condition,duration_sec,end_reason,ended_at,logged_turns,message_count,order_group,participant_id,session_id,started_at
B,300,timer,2026-06-21T01:24:42.869126+00:00,9,10,A-B,pf005,exp-bab25091ac7cd8dc-i2,2026-06-21T01:19:42.906839+00:00
A,300,timer,2026-06-21T01:15:43.407698+00:00,13,13,A-B,pf005,exp-bab25091ac7cd8dc-i1,2026-06-21T01:10:43.581589+00:00
A,300,timer,2026-06-19T19:57:28.682435+00:00,9,9,B-A,pf004,exp-e73ee18b6c259505-i2,2026-06-19T19:52:28.729022+00:00
B,300,timer,2026-06-19T19:50:57.504165+00:00,5,6,B-A,pf004,exp-e73ee18b6c259505-i1,2026-06-19T19:45:56.948427+00:00
B,45,menu,2026-06-19T19:45:02.287035+00:00,0,0,B-A,pf003,exp-695b740ad3dc9764-i1,2026-06-19T19:44:16.003567+00:00
B,,,,19,19,A-B,pf002,exp-70d0b68738d7b9b3-i2,2026-06-19T19:28:32.826115+00:00
A,,,,10,10,A-B,pf002,exp-70d0b68738d7b9b3-i1,2026-06-19T19:18:18.886582+00:00
A,92,menu,2026-06-19T19:14:55.881417+00:00,3,3,A-B,test,exp-6226a8111382d9bf-i1,2026-06-19T19:13:23.114876+00:00
